Mensaje,Etiqueta,preprocesamiento
Compra ahora y recibe un descuento especial,ham,compra ahora recibe descuento especial
Haz clic aqui para ganar un premio,spam,haz clic aqui ganar premio
Tu ordenador tiene un virus,spam,ordenador virus
Descubre como perder peso rapidamente,spam,descubre perder peso rapidamente
Necesitas ayuda con tu tarea,ham,necesitas ayuda tarea
Gana dinero desde casa sin esfuerzo,spam,gana dinero casa esfuerzo
Reclama tu herencia de un pariente lejano,spam,reclama herencia pariente lejano
Mejora tu rendimiento sexual con este producto,spam,mejora rendimiento sexual producto
Por favor responde a esta encuesta,ham,favor responde encuesta
Invierte en esta oportunidad unica y hazte rico,spam,invierte oportunidad unica hazte rico
Comparte este mensaje con tus amigos,ham,comparte mensaje amigos
Obten un prestamo facilmente sin verificacion de credito,spam,obten prestamo facilmente verificacion credito
Felicidades has ganado un telefono nuevo,spam,felicidades ganado telefono nuevo
Necesitamos verificar tu cuenta bancaria,spam,necesitamos verificar cuenta bancaria
Aprende ingles en solo 10 dias,spam,aprende ingles solo dias
Gracias por tu compra,ham,gracias compra
Trabaja desde casa y gana mucho dinero,spam,trabaja casa gana dinero
Este es un mensaje importante de tu banco,spam,mensaje importante banco
Aumenta tu tamano con estas pastillas milagrosas,spam,aumenta tamano pastillas milagrosas
Hola soy tu vecino y necesito un favor,ham,hola vecino necesito favor
Has sido seleccionado para una oferta exclusiva,spam,sido seleccionado oferta exclusiva
Descarga este software gratis ahora,spam,descarga software gratis ahora
Conoce solteras calientes en tu area,spam,conoce solteras calientes area
Por favor confirma tu suscripcion,ham,favor confirma suscripcion
Obten un descuento del 50% en tu proximo viaje,spam,obten descuento proximo viaje
Tu paquete esta listo para ser recogido,spam,paquete listo ser recogido
Unete a nuestro club de descuentos,ham,unete club descuentos
Haz clic para ver fotos de personas desnudas,spam,haz clic ver fotos personas desnudas
Necesitamos actualizar tu informacion personal,spam,necesitamos actualizar informacion personal
Compra medicamentos sin receta medica,spam,compra medicamentos receta medica
Hola soy tu amigo de la infancia,ham,hola amigo infancia
Gana una gift card de 100 dolares,spam,gana gift card dolares
Este producto te hara sentir mas joven,spam,producto hara sentir mas joven
Por favor dona a esta causa importante,ham,favor dona causa importante
Has ganado un viaje todo incluido,spam,ganado viaje incluido
Descarga este tono de llamada gratis,spam,descarga tono llamada gratis
Haz clic para ver el video mas divertido,spam,haz clic ver video mas divertido
Necesitas este seguro de vida ahora mismo,spam,necesitas seguro vida ahora mismo
Por favor ayudame a encontrar a mi mascota perdida,ham,favor ayudame encontrar mascota perdida
Obten acceso a peliculas gratis en linea,spam,obten acceso peliculas gratis linea
Haz esta prueba de coeficiente intelectual y sorprendete,spam,haz prueba coeficiente intelectual sorprendete
Gracias por tu interes en nuestros servicios,ham,gracias interes servicios
Multiplica tus ingresos con este programa de afiliacion,spam,multiplica ingresos programa afiliacion
Te extrano y quiero verte,ham,extrano quiero verte
Obten tu reporte de credito gratis,spam,obten reporte credito gratis
Este producto milagroso te quitara las arrugas,spam,producto milagroso quitara arrugas
Por favor completa esta oferta para continuar,spam,favor completa oferta continuar
Haz clic para descargar musica gratis,spam,haz clic descargar musica gratis
Aprende a invertir en criptomonedas ahora,spam,aprende invertir criptomonedas ahora
